,1,1,Beheaded for desertion by Ned Stark,0%,,Will,Ranger of the Nights Watch
,1,1,Poisoned by Lysa Arryn and Littlefinger,0%,,Jon Arryn,Hand to the King before Ned Stark
,5,1,Stabbed by Jaime Lannister through the eye,0%,,Jory Cassel,Captain of the guards to House Stark
,6,1,Khal Drogo pours molten gold on his head at Daenerys command,0%,,Viserys Targaryen,Exiled head of House Targaryen and brother to Daenerys Targaryen
,7,1,Unknown,15%,He could have survived all this time or become a wight,Benjen Stark,"First Ranger of the Nights Watch, Brother of Ned Stark"
,7,1,Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister at Cersei Lannisters command,0%,,Robert Baratheon,Lord of the Seven Kingdoms
,8,1,Presumably killed by Ser Meryn in a sword fight (he was only armed with a training sword),30%,We never actually see him die. He was a master swordsman after all.,Syrio Forel,Master sword fighter and Arya Starks instructor in combat
,9,1,Beheaded by Ser Ilyn Payne at the order of Joffrey Baratheon,0%,,Eddard Stark,Hand of the King and Lord of the North
,10,1,Smothered by Daenerys Targaryen in a mercy killing after a spell by Mirri Maz Duur leaves him in a catatonic state,0%,Unless its in another vision like Daenerys had in season 2,Drogo,Chieftain of the Dothraki people and husband of Daenerys Targaryen
,10,1,Stillborn because of a blood magic ritual performed by Mirri Maz Duur,0%,,Rhaego,Son of Khal Drogo and Khaleesi Daenerys Targaryen
,10,1,Burned alive on Drogos funeral pyre by Daenerys Targaryen,0%,,Mirri Maz Duur,Enslaved godswife
,2,2,Killed and decapitated by a rival khalasar while scouting the Red Waste,0%,,Rakharo,Dothraki bodyguard to Daenerys Targaryen
,3,2,"Killed by Ser Amory Lorch, loyal to House Lannister, in a fight",0%,,Yoren,Recruiter for the Nights Watch
,5,2,Killed by a shadow with Stannis Baratheons face that was birthed by Melisandre,0%,,Renly Baratheon,"Master of Laws, Claimant to the Iron Throne, brother of Robert and Stannis Baratheon"
,6,2,Decapitated by Theon Greyjoy,0%,,Rodrik Cassel,"Master-at-Arms at Winterfell, Servant of House Stark"
,7,2,Murdered during Xaro Xhoan Daxos theft of the dragons at Qarth,0%,,Irri,Dothraki handmaiden to Daenerys Targaryen
,10,2,Osha ends his suffering after he is stabbed with a spear by ironborn raider Dagmer,0%,,Maester Luwin,Maester of Winterfell
,10,2,Killed by Jon Snow (at Qhorins own behest) in order to trick the Wildlings into thinking Jon has left the Nights Watch,0%,,Qhorin,Nights Watch ranger
,10,2,Burned alive by Daenerys Targaryens dragons,0%,,Pyat Pree,"Warlock from Qarth, Member of the Thirteen"
,10,2,Locked with Xaro Xhoan Daxos inside a Valyrian stone vault by Jorah Mormont at the order of Daenerys Targaryen,1%,We didnt actually see her die,Doreah,Handmaiden to Daenerys Targaryen
,10,2,Locked in a Valyrian stone vault by Jorah Mormont on the orders of Daenerys Targaryen,1%,we didnt actually see him die,Xaro Xhoan Daxos,Merchant in Qarth
,3,3,Illness,0%,,Hoster Tully,"Lord of Riverrun, Father of Edmure Tully, Catelyn Stark and Lysa Arryn"
,4,3,Stabbed to death by Nights Watchman Rast during a mutiny,0%,,Jeor Mormont,Lord Commander of the Nights Watch
,4,3,"Killed by Karl Tanner, a Nights Watchman",0%,,Craster,A Wildling who lived with his daughter-wives beyond the Wall
,4,3,Burned alive by Drogon after he tries to trade the Unsullied for the dragon and insults Daenerys,0%,,Kraznys,Salve-trader in Slavers Bay and one of the Good Masters
,5,3,Killed by the Hound in trial by combat,100%,Hes already back! Thoros of Myr has resuscitated Dondarrion six times via prayers to the Lord of Light,Beric Dondarrion,Leader of Brotherhood Without Banners
,6,3,Shot by Joffrey Baratheon with a crossbow,0%,,Ros,Prostitute in Littlefingers brothel and spy for Varys
,9,3,Stabbed in the stomach while pregnant by Lothar Frey at the Red Wedding,0%,,Talisa Stark,Wife of Robb Stark
,9,3,Shot by a Frey crossbowman and then stabbed through the heart by Roose Bolton at the Red Wedding,0%,,Robb Stark,"King of the North, son of Lord Eddard Stark and Lady Catelyn of Winterfell"
,9,3,Throat slit by Black Walder Rivers at the Red Wedding,0%,,Catelyn Stark,"Wife of Eddard Stark, Mother of Robb, Sansa, Arya, Bran and Rickon"
,1,4,Stabbed in the throat by Arya Stark,0%,,Polliver,Man-at-arms for House Lannister
,2,4,Hunted down by Ramsay Snow and eaten by his dogs,0%,,Tansy,Servant of House Bolton
,2,4,Poisoned at the Purple Wedding by Olenna Tyrell and Littlefinger,0%,,Joffrey Baratheon,Lord of the Seven Kingdoms
,5,4,Impaled by Jon Snow during the raid on Crasters Keep,0%,,Karl Tanner,"Brother of the Nights Watch, leader of the mutiny at Crasters Keep"
,5,4,Neck snapped by Bran Stark while Bran is warging into Hodor,0%,,Locke,Man-at-arms for House Bolton
,5,4,"Ripped apart by Jons direwolf, Ghost, during the raid on Crasters Keep",0%,,Rast,Ranger in the Nights Watch
,7,4,Pushed out of the Moon Door by Littlefinger,0%,,Lysa Arryn,"Lady Regent of the Vale, sister to Catelyn Stark, briefly the wife of Littlefinger"
,8,4,Skull crushed by the Mountain in a trial by combat,0%,,Oberyn Martell,Prince of the House Martell
,8,4,Poisoned by the spear of Oberyn Martell in a trial by combat,100%,Reanimated by Qyburn,The Mountain,"Knight and Head of House Clegane, loyal to House Lannister"
,9,4,Killed fighting the giant Mag the Mighty in the Battle of Castle Black,0%,,Grenn,Ranger in the Nights Watch
,9,4,Killed by Grenn and five other members of the Nights Watch in the Battle of Castle Black,0%,,Mag the Mighty,Giant fighting in Mance Rayders army
,9,4,Shot through the neck with an arrow by Ygritte during the Battle of Castle Black,0%,,Pyp,Brother of the Nights Watch
,9,4,Bludgeoned in the head with a hammer by Jon Snow during the Battle of Castle Black,0%,,Styr,Thenn fighting in Mance Rayders army
,9,4,Shot with an arrow by Olly in the Battle of Castle Black,0%,,Ygritte,Soldier in Mance Rayders army and Jon Snows lover
,10,4,Mercy killed by Meera after being stabbed multiple times by a wight; burned by a fireball thrown by ���the Children�۝,30%,Could Jojen have warged into someone or something before he died?,Jojen Reed,"Warg, brother of Meera Reed, traveling companion of Bran Stark"
,10,4,Strangled to death by Tyrion Lannister,0%,,Shae,Prostitute and girlfriend of Tyrion Lannister
,10,4,Shot on the toilet by Tyrion with a crossbow,0%,,Tywin Lannister,"Head of House Lannister, Lord of Casterly Rock, father of Cersei, Jaime and Tyrion Lannister"
,1,5,Shot with a mercy arrow by Jon Snow before hes burned alive,0%,,Mance Rayder,Leader of the Free Folk
,3,5,Beheaded for insubordination by Jon Snow,0%,,Janos Slynt,"Former commander of the City Watch in Kings Landing, exiled to Nights Watch by Tyrion Lannister"
,4,5,Killed fighting the Sons of the Harpy in Meereen,0%,,Barristan Selmy,"Former member of the Kingsguard, advisor of Daenerys Targaryen"
,7,5,Dies of old age,0%,,Maester Aemon,Maester at Castle Black
,8,5,Mauled to death by Wights,100%,We see her become a wight,Karsi,Chieftainess of the Ice-river clans
,9,5,Burned alive as a sacrifice to the Lord of Light by Melisandre at the order of Stannis Baratheon,0%,,Shireen Baratheon,Daughter of Stannis and Selyse Baratheon
,9,5,Stabbed to death by the Sons of the Harpy,0%,,Hizdahr zo Loraq,"Scion of the House Loraq, former slave trader, husband of Daenerys Targaryen"
,10,5,Hangs herself following the death of her daughter,0%,,Selyse Baratheon,Wife of Stannis Baratheon
,10,5,Executed by Brienne of Tarth,50%,We dont actually see Brienne kill Stannis,Stannis Baratheon,"Lord of Dragonstone, brother of Robert and Renly Baratheon, claimant to the Iron Throne"
,10,5,Pushed off a ledge by Theon Grejoy,0%,,Myranda,Servant of House Bolton and Ramsay Snows lover
,10,5,Blinded and stabbed before having his throat slit by Arya Stark,0%,,Meryn Trant,Knight in the Kingsguard
,10,5,Poisoned with a kiss by Ellaria Sand with the help of the Sand Snakes,0%,,Myrcella Baratheon,"Daughter of Cersei Lannister and Jaime Lannister, sister to King Tommen Baratheon"
,10,5,"Stabbed by Nights Watch mutineers, including Alliser Thorne and Olly",100%,Resurrected by Melisandre,Jon Snow,"Commander of the Nights Watch, bastard son of Eddard Stark (or maybe not)"
,1,6,"Stabbed in the back by Tyene, one of the Sand Snakes",0%,,Areo Hotah,Captain of the Guard for the Martells
,1,6,Stabbed in the chest by Ellaria Sand,0%,,Doran Martell,Prince of Dorne
